jab|v.刺；戳；猛击; n.戳；刺；猛击; 注射
racket|n.球拍; n.喧闹；敲诈；行业；职业; v.喧闹；花天酒地
amused|adj.愉快的；顽皮的；被逗乐的；觉得好笑的
rowing|n.划船，赛艇运动
quietly|adv.安静地；悄悄地；平静地
thereafter|adv.其后；从那时以后
bordering|n.边缘(设立疆界；边界标志物)
unfold|v.展开；开放；显露
luckily|adv.幸运地；幸亏地
rotten|adj.腐烂的；腐朽的；极坏的；讨厌的; adv.非常
mankind|n.人类；男人
biographical|adj.传记的
poh|int.轻视之声; vt.使疲倦
lowly|adj.地位低的；卑下的；谦卑的; adv.位置低下地；低声地；谦逊地
overthrow|v.推翻；打倒；颠覆；[体]高投; n.推翻；瓦解；颠覆；[体]高投
rally|n.集会；（价值等）回升；回合; vi.重整旗鼓；恢复精神；(人)集合起来; vt.嘲弄；重新召集；激励
librarians|图书馆员
halfway|adj.中途的；不彻底的; adv.半路地；在…中间；折中地
shining|adj.光亮的；华丽的
graveyard|n.墓地；废弃场地
rubber|n.橡胶；橡皮；橡胶制品; adj.橡胶的
redouble|v.加倍；再折叠；重复
correlation|n.相互关系；相关；关联
premium|n.额外费用；奖金；保险费; n.(商)溢价; adj.高价的；优质的
spawn|n.卵；产物；后代；结果; vt.产卵；种菌丝于；产生；造成; vi.产卵；大量生产
screeching|发动机啸声
romp|v.嬉闹玩笑；欢快地迅速奔跑；轻易地取得胜利; n.好玩的游戏；欢闹；顽皮嬉闹的人；轻易取得的胜利
sneaky|adj.鬼祟的；卑鄙的
rightfully|adv.正直地；正当地
peppy|adj.精神充沛的；活泼的
mornings|n.每天上午；在任何上午
thaw|n.融雪; v.使融解；暖和
realm|n.领域；王国
practiced|adj.熟练的；老练的；练成的
spelling|n.拼法；拼写
rejoice|v.（使）高兴；（使）欢喜
newsroom|n.编辑部；报章杂志阅览室；报纸贩卖部
ivory|n.象牙；乳白色
punishment|n.惩罚
postal|adj.邮政的; n.明信片
scattered|adj.分散的；稀疏的
savory|adj.美味可口的；香辣的；令人愉快的；体面的; n.香薄荷; =savoury(英).
tornado|n.龙卷风；飓风；旋风
plead|v.辩护；恳求；提出借口；认罪
roars|n.怒吼
homemade|adj.自制的；国产的
ripples|皱纹,纹波,涟漪
scoot|v.急走; n.急走；迅速跑开
revolve|v.旋转；考虑；围绕
scatter|vt.散播；撒；驱散; vi.分散；消散; n.散布；零星少量
plaything|n.玩具；玩物；被玩弄的人
remedy|n.治疗法；药物；补救; vt.治疗；补救；矫正
provoke|vt.激怒；惹起；驱使
odor|n.气味；名声；气息
ref|n.裁判员
rage|n.狂怒；大怒；狂暴；肆虐；风行; v.大怒；怒斥；激烈进行；肆虐
salsa|n.沙司(墨西哥食物中辣调味汁); n.萨尔萨舞曲
edition|n.版；版本
outsmart|v.比...更聪明；智胜
peep|n.瞥见；偷看；初现; n.吱吱叫; v.窥视；慢慢露出; v.吱吱叫
cuff|n.袖口；手铐; n.巴掌; v.为...上袖口；带手铐; v.轻拍；掴
regroup|v.重新组合；重新编制；重新部署
overlord|n.霸王；大君主；最高君主
locate|vt.找出；把...设置在；使坐落于; vi.住下来
spice|n.调味品；香料；情趣; v.用香料调味；给…增添趣味
recall|n.回忆；取消；召回; vt.召回；恢复；回想起；唤起；与...相似
anytime|adv.任何时候；总是，无例外地
professors|大学教授
sandal|n.凉鞋; n.檀香木
vicious|adj.恶毒的；恶意的；剧烈的；堕落的
perfume|n.香水；香气; vt.洒香水于；使香气弥漫
newly|adv.新近地；重新地
ah|int.啊；哈; =aah.
puddle|n.水坑；地上积水；胶泥; v.搅浊；在泥污中打滚；排尿
rattlesnake|n.响尾蛇
galaxy|n.银河；星系；一群杰出的人
peg|n.钉；支柱；借口; vt.钉木桩；扔; vi.努力工作；匆忙走
potion|n.一服，一剂；（药物、毒物或有魔力的）饮料
ante|n.(纸牌游戏中发牌钱下的)赌注；(需预付的)款项; v.下赌注；付款; pref.表示“前”
scenery|n.风景；背景；布景
scoop|n.铲子；勺；舀取；穴；独家新闻; vt.挖空；舀取；抢先报道（获得）
rightly|adv.正当地；公义地；正确地
sniff|vi.嗅；嗤之以鼻；找出; vt.嗅到；吸入；嗤之以鼻地说; n.嗅；吸气；气味
olive|n.橄榄；橄榄树；橄榄色; adj.黄褐色的；橄榄色的
participants|adj.有份的；n
rusty|adj.生锈的；荒废的；锈色的
bravery|n.勇敢；华丽(的衣服)
privacy|n.隐居；隐私；秘密；私生活
unpredictable|adj.不可预知的
boxing|n.拳击；盒式包装；制箱材料
la|n.A音的唱名；第六音; int.啊呀；呀
retired|adj.退休的；退役的
slippery|adj.滑的；狡猾的；不可靠的
bunny|n.小兔子
tickle|vt.使发痒；逗乐；使快乐; vi.觉得痒; n.痒；抓痒
reminder|n.提醒物；提示；催单
pendragon|n.古代不列巅或威尔斯的王侯；首领；旨长
desperation|n.绝望；铤而走险
romantic|adj.浪漫的；不切实际的; n.浪漫的人
ravenous|adj.贪婪的；极饿的
