lowness|n.低；下贱；粗鄙
reunion|n.团聚；联合
technically|adv.技术上；学术上；严密地
fog|n.雾；朦胧；迷惑; v.以雾笼罩；使模糊；迷惑
boot|n.靴子；猛踢；解雇；[英]汽车行李箱; vt.踢；穿靴子；逐出；启动(计算机)
helpless|adj.无助的；无依靠的
unbelievable|adj.难以置信的
mangle|v.碾压；损坏；糟蹋；乱切; n.碾压机
homecoming|n.归国；回家；返校节
lid|n.盖子；眼睑; vt.给...装盖子
ah|int.啊；哈; =aah.
sneaky|adj.鬼祟的；卑鄙的
luck|n.运气；幸运；侥幸; v.侥幸成功；走运
nap|n.小睡；绒毛；纳普牌; vi.打盹；疏忽
hie|v.快走；赶紧；催促
mist|n.雾；迷蒙；朦胧不清; vt.使…模糊；蒙上雾; vi.使模糊；下雾
outfit|n.配备；用具；机构; vt.配备；供应; vi.得到装备
thoughtful|adj.深思的；体贴的
edition|n.版；版本
stomp|vt.跺（脚）；重踏; n.跺脚舞；顿足爵士舞乐曲
vicious|adj.恶毒的；恶意的；剧烈的；堕落的
sorts|n.种类; 分类.
hint|n.暗示; v.暗示；示意
outsmart|v.比...更聪明；智胜
hardworking|adj.努力工作的；勤奋的
proudly|adv.傲慢地；自大地；得意洋洋地
mansion|n.大厦；宅邸；公寓
detour|n.绕路；便道; v.绕路而行
mishap|n.不幸之事；灾祸；恶运
overthrow|v.推翻；打倒；颠覆；[体]高投; n.推翻；瓦解；颠覆；[体]高投
eerie|adj.怪诞的；可怕的；奇异的；害怕的
hourglass|n.时漏；砂漏；水漏
heave|v.用力举起；抛出；扔；恶心；（费力地）发出（叹息等）; n.举；抛；起伏
unpredictable|adj.不可预知的
hooded|adj.戴头巾的；有兜帽的；有罩盖的；[动]有冠顶的
participants|adj.有份的；n
overlord|n.霸王；大君主；最高君主
sniff|vi.嗅；嗤之以鼻；找出; vt.嗅到；吸入；嗤之以鼻地说; n.嗅；吸气；气味
hiccup|n.打嗝；暂时性的小问题; vi.打嗝; =hiccough.
medaled|adj.接受奖章的；佩带徽章的
henceforth|adv.今后，此后
lovingly|adv.钟情地；深情地
newly|adv.新近地；重新地
misfortune|n.不幸；灾祸
ness|n.岬；海角
horizon|n.地平线；眼界；范围
pup|n.小狗；小海豹；小伙子
scenery|n.风景；背景；布景
tug|n.用力拉；拖船; v.用力拉
olive|n.橄榄；橄榄树；橄榄色; adj.黄褐色的；橄榄色的
amused|adj.愉快的；顽皮的；被逗乐的；觉得好笑的
muddy|adj.泥泞的；浑浊的；糊涂的; v.使沾上烂泥；使...混浊；使迷惑
hood|n.头巾；兜帽；遮罩；引擎盖; vt.覆盖
fairy|n.仙女；小精灵; adj.优雅的；幻想中的；虚构的
horror|n.恐怖；战栗；厌恶；震惊; adj.恐怖的
shortage|n.不足；缺少，短缺
lure|vt.诱惑；吸引; n.诱惑；吸引力；饵
hike|n.徒步旅行；远足；涨价; vi.远足；提高
tone|n.语气；音调；调子；色调；风气; v.使更健壮；定调；调色；装腔作势地说
moonlight|n.月光; v.兼职; adj.夜间的
nephew|n.外甥；侄子
odor|n.气味；名声；气息
nonstop|adj.直达的；不断的；不间断的; adv.直达地；不间断地; n.直达车；直达行驶
newsroom|n.编辑部；报章杂志阅览室；报纸贩卖部
peep|n.瞥见；偷看；初现; n.吱吱叫; v.窥视；慢慢露出; v.吱吱叫
non|adv.[拉]非；不是
stitch|n.一针；疼痛；碎布条; v.缝合
mere|adj.仅仅的；纯粹的
uncover|vt.揭开；揭露
hideous|adj.丑陋的；可怕的；可憎的；令人惊骇的
spawn|n.卵；产物；后代；结果; vt.产卵；种菌丝于；产生；造成; vi.产卵；大量生产
lousy|adj.多虱的；可鄙的；差劲的; adj.【口】大量的（通常指不好的事物）
lunge|n.刺；刺进；跃进; v.猛向前冲；踢；刺出
momentous|adj.重要的；重大的
bordering|n.边缘(设立疆界；边界标志物)
