warmly|adv.亲切地；温暖地；热烈地
magician|n.魔术师；术士
heal|vt.治愈；使恢复健康；使和解; vi.痊愈
faint|adj.微弱的；无力的；模糊的; v.昏倒; n.昏厥；昏倒
boast|v.自夸；吹牛；以...为荣; n.自夸；引以为荣的事物
delight|n.高兴；快乐; v.(使)高兴；(使)欣喜
nephew|n.外甥；侄子
nasty|adj.下流的；严重的；令人不快的；难懂的；危害的
eights|八叠板,八层叠板
needlepoint|n.针尖；针绣花边
neatly|adv.整洁地；熟练地
mischief|n.淘气；恶作剧；捣蛋鬼；损害；伤害
saddle|n.鞍；车座；山脊；当权; vt.装以马鞍；使负担; vi.装马鞍
dominion|n.统治；主权；领土; Domimion：.; n.英联邦的自治领土
grudge|n.怨恨；恶意; vt.不愿；吝惜；嫉妒
luckily|adv.幸运地；幸亏地
dining|n.就餐
mist|n.雾；迷蒙；朦胧不清; vt.使…模糊；蒙上雾; vi.使模糊；下雾
foresee|v.预见；预知
cattle|n.牛；家畜；畜牲
myth|n.神话；虚构的故事
beloved|adj.心爱的; n.爱人
oceans|n.大洋
elegant|adj.优雅的；雅致的
hitch|n.猛拉；急促猛推；跛行；妨碍；免费搭车; vt.拴住；连住；急拉；拉紧；免费搭车; vi.蹒跚；被缠结；免费乘车
momentous|adj.重要的；重大的
eternity|n.永远；来世；不朽；漫长的时间
clicking|n.微小静电干扰声
sheriff|n.郡治安官；郡长
mule|n.骡子；固执的人；走私毒品者; n.拖鞋
waking|adj.醒着的
palaces|宫城
muddy|adj.泥泞的；浑浊的；糊涂的; v.使沾上烂泥；使...混浊；使迷惑
mysteriously|adv.神秘地；故弄玄虚地
boar|n.野猪；公猪
slumber|n.睡眠；微睡；休止状态; v.睡觉；打盹；静止；休眠
magically|adv.如魔法般地；用魔法地
quest|n.探索；寻求; v.寻找；搜索
necked|v.颈缩(冲槽); adj.压缩的
immediate|adj.直接的；最接近的；立即的；目前的
weekly|adj.每周的；一周一次的；周刊的; n.周刊；周报; adv.每周；一周一次
invincible|adj.不可征服的；不能战胜的
relative|adj.相对的；比较的；相关的; n.亲戚；[语]关系词
gloomy|adj.阴暗的；忧闷的；前景黯淡的
mug|n.脸；杯；一杯的量；恶棍; v.打劫；突击学习
pluck|v.摘；猛拉；拔；拨弹（乐器）; n.猛拉；勇气；动物内脏
enormous|adj.巨大的；庞大的
squawk|n.叫声；嘈杂的抱怨; v.呱呱地叫鸣；喋喋不休地发牢骚
courageous|adj.勇敢的；有勇气的，有胆量的
moonlight|n.月光; v.兼职; adj.夜间的
respectful|adj.表示尊敬的；有礼貌的；谦恭的
ness|n.岬；海角
maniac|n.疯子；热衷者；躁狂者
fiercely|adv.猛烈地；厉害地
tee|n.字母t；形状像字母T的东西; [游戏]目标.; [高尔夫球]发球的球座.; v.将（高尔夫球）置于球座
dungeon|n.地牢；土牢；城堡主塔
droop|v.低垂；下垂；(草木)枯萎；(精神)萎靡; n.下垂；消沉
willow|n.柳树；柳木制品
misfortune|n.不幸；灾祸
sword|n.剑；刀
efficiency|n.效率；功率
frantic|adj.疯狂的；狂乱的；急忙的
newly|adv.新近地；重新地
thee|pron.[古]你；汝；你自己
swamp|n.沼泽；湿地；困境; v.淹没；使陷于困境；使忙于应付
drape|n.布帘；褶皱; v.用布帘覆盖；（使）呈褶裥状；悬挂
drift|vi.漂流；漂移；吹积；漂泊；偏离; vt.使漂流；使堆积; n.漂流；趋势；漂泊
dire|adj.可怕的；悲惨的；极其的
detached|adj.超然的；分离的；独立的
mutter|v.咕哝；抱怨；低语; n.嘟哝；抱怨；低语
muse|v.沉思；冥想; n.沉思；[大写]（希腊神话）缪斯；艺术家的灵感；诗人
mishap|n.不幸之事；灾祸；恶运
downstream|adv.朝下游方向; adj.顺流的
turf|n.草皮；泥炭；赛马场；赛马; v.铺草皮
pitiful|adj.慈悲的；可怜的；凄惨的
