thud|n.重击声；砰的一声; v.发出砰的一声
budge|v.移动；妥协; n.羔皮; adj.浮夸的；庄严的
convert|v.(使)转变；使…改变信仰；转化；兑换；换算; n.皈依者；改变信仰的人
faint|adj.微弱的；无力的；模糊的; v.昏倒; n.昏厥；昏倒
curdle|v.凝结；变稠; v.(使)结成凝乳；变成凝乳状
wool|n.羊毛；毛线；毛织品
goodwill|n.善意；亲切；友好；商誉；信誉
crocodile|n.鳄鱼
blindfold|v.蒙住...的眼睛; n.蒙眼物；盲目; adj.被蒙上眼睛的
bloody|adj.流血的；血腥的；嗜杀的; vt.使流血; adv.[俚]非常
eights|八叠板,八层叠板
henceforth|adv.今后，此后
deaths|死亡人口
horror|n.恐怖；战栗；厌恶；震惊; adj.恐怖的
crown|n.王冠；王权；花冠；顶点；齿冠；克朗（丹麦、瑞典、捷克等国的货币单位）; vt.加冕；使...成王；居...之顶；镶齿冠；使圆满；打…的头部
swimmer|n.游泳者
dominion|n.统治；主权；领土; Domimion：.; n.英联邦的自治领土
hourglass|n.时漏；砂漏；水漏
appetite|n.食欲；嗜好；欲望
tread|n.步法；踏面；胎面花纹；鞋底; v.踩；行走；践踏；(鸟类)交配
creation|n.创造；创作
divine|adj.神圣的；神的; vt.推断; vi.预言；理解; n.牧师；神学家
dabble|v.喷洒；玩水；泼溅；涉猎；浅尝
syrup|n.糖浆；甜而黏稠的汁液
elegant|adj.优雅的；雅致的
scram|n.急停；急离；紧急刹车; v.快走开
hood|n.头巾；兜帽；遮罩；引擎盖; vt.覆盖
bald|adj.秃头的；单调的；无装饰的; v.（使）变秃头
hie|v.快走；赶紧；催促
helpless|adj.无助的；无依靠的
deli|n.(=delicatessen)熟食店
hiccup|n.打嗝；暂时性的小问题; vi.打嗝; =hiccough.
harness|n.马具；安全带；甲胄；系在身上的绳子; vt.束以马具；披上甲胄；利用；管理；控制
rattle|vi.嘎嘎作响；喋喋不休; vt.使惊惶失措；使恼火；使作响；急促地谈讲; n.嘎嘎声；嘎嘎响的东西；拔浪鼓
devil|n.魔鬼；淘气鬼；坏人；家伙；棘手的事; vt.困扰；添加辣味调料；给...做助手
hideous|adj.丑陋的；可怕的；可憎的；令人惊骇的
demotic|adj.平民的；民众的；通俗的
squeaky|adj.吱吱响的；发轧声的；短促尖声的
creator|n.创造者；[计]创建者; Creator.; n.上帝
disk|n.圆盘；唱片；花盘；磁盘；盘形物
maker|n.制造者；制定者; Maker:上帝.
holler|v.叫喊；发牢骚; n.叫喊；怨言
dedication|n.奉献；献词；献堂礼
distraction|n.分心；分心的事物；注意力分散；娱乐；消遣；发狂
overtime|n.加班时间(加班加点费)；(比赛)延长时间; adv.在规定时间之外(超出时间地)
supporter|n.支持者；拥护者；支撑物
raging|adj.狂暴的；非凡的；熊熊燃烧的
pillar|n.柱子；支柱；核心(人物); vt.用柱支持
banquet|n.宴会; vi.参加宴会; vt.宴请；设宴
desperate|adj.绝望的；不顾一切的；极其想要的
courier|n.送快信的；急差；旅行服务员
developing|adj.发展中的
unmarried|adj.未婚的；独身的; n.未婚者
dungeon|n.地牢；土牢；城堡主塔
homecoming|n.归国；回家；返校节
doggy|n.小犬；小狗（=doggie）; adj.爱狗的；像狗一样的；摆阔的；低级的
poke|n.戳；刺；拨；钱袋; v.戳；捅；刺；拨开；伸出
droop|v.低垂；下垂；(草木)枯萎；(精神)萎靡; n.下垂；消沉
tight|adj.紧的；紧身的；密集的；拮据的; adv.紧紧地；牢固地；迅速地
hike|n.徒步旅行；远足；涨价; vi.远足；提高
weary|adj.疲倦的；厌烦的; v.疲倦；厌烦；生厌
girdle|n.腰带；围绕物; vt.以腰带束缚；在...周围绕
disgusting|adj.令人厌恶的
demon|n.魔鬼；恶魔；精力充沛的人；高手
efficiency|n.效率；功率
darkness|n.黑暗
immortal|adj.不朽的；永世的; n.不朽的人物；神
horizon|n.地平线；眼界；范围
drift|vi.漂流；漂移；吹积；漂泊；偏离; vt.使漂流；使堆积; n.漂流；趋势；漂泊
heave|v.用力举起；抛出；扔；恶心；（费力地）发出（叹息等）; n.举；抛；起伏
drape|n.布帘；褶皱; v.用布帘覆盖；（使）呈褶裥状；悬挂
unharmed|adj.没有受伤的；无恙的
deck|n.甲板；层面；一副牌; vt.装饰；用力击倒
bonding|n.形成的亲密关系；[牙]黏结
demi|pref.半
