curtain|n.窗帘；门帘；幕(布); vt.(用帘)装饰；(以帘)遮蔽
journey|n.旅程；旅行；行程; v.旅行
hesitate|vi.犹豫；不情愿；口吃
symptom|n.症状；征兆
seashore|n.海滨
bent|bend的过去式和过去分词.; adj.下定决心的；弯曲的; n.嗜好
astonish|vt.使惊讶；使吃惊
chimpanzee|n.黑猩猩
lunchroom|n.速简餐厅
detect|v.发觉；察觉；探测
disturb|v.扰乱；妨碍；使...不安；打破...的平静；打乱...的治安
hurriedly|adv.匆忙地
wearer|n.穿用者
piracy|n.盗版；剽窃；著作权侵害；海盗行为
stockings|n.长袜
suffer|vt.遭受；忍受；容忍，宽恕，听任；允许，准许; vi.受苦；患病；受损失；变差，变糟；处于不利地位
nerve|n.神经；勇气；敏感处；叶脉；厚脸皮; v.鼓起勇气; （复）nerves:神经紧张.
aspect|n.方面；方位；外观；外貌
whoosh|v.飞快地移动; n.嗖的一声；冲出(表示飞快的移动)
persistent|adj.坚持的；连续的；固执的
dismay|n.沮丧；绝望; vt.使...沮丧；使...惊愕
presto|adv.(音乐演奏)急速; adj.(音乐)急速的; n.(音乐)快拍；急速
bitterly|adv.残酷地；痛苦地
companion|n.同伴；志趣相投的人；成对物品之一；参考书; v.陪伴
soundly|adv.完全地；健全地；坚牢地；香甜地
analysis|n.分析；解析
prance|v.腾跃；欢跃；昂首阔步; n.(马)后足立地腾跃；昂首阔步
turnip|n.萝卜；芜菁；大头菜
monsoon|n.季风；雨季
weep|v.流泪；哭泣；悲叹；渗出; n.哭泣；眼泪
culture|n.栽培；文化；教养; vt.培养，栽培
extraordinary|adj.非凡的；特别的；特派的
lesion|n.损害；损伤；障碍
pipe|n.管子；烟斗；管乐器; vt.以管输送；装管道；吹奏；尖声说；(为衣服等)滚边; vi.吹奏管乐；尖叫
fend|v.照料；挡开；[英口]供养
criticism|n.批评；评论
express|n.快车；快递；专使; adj.明确的；急速的；直接的; adv.用快递; vt.表达；表示；挤压出；快递
vital|adj.至关重要的；有活力的；生死攸关的
hummingbird|n.蜂鸟
evade|v.逃避；躲避；规避
unimaginative|adj.（艺术品）缺乏想象力的；无趣的
precaution|n.预防；预防措施
tock|n.托科鸟
buoy|n.浮标；浮筒；救生圈；救生衣; v.使浮起；支持；鼓励；用浮标指示
snatch|n.抢夺；一阵；一点点; v.夺取；抓住
guarantee|n.保证；保证书；担保；担保人；抵押品; vt.保证；担保
exist|v.存在；生存；活着
pedestal|n.基架；底座；受人尊敬的地位; vt.搁在台上；颂扬
sprouted|adj.萌芽的；发了芽的
drilling|n.演练；钻孔
occasion|n.场合；时机；理由；机会；盛大场面; vt.引起；致使
flex|v.弯曲；伸缩；屈曲; n.花线；弯曲；弹性
tendency|n.趋势；倾向；秉性
rig|n.装备；帆具；服装；钻井架；钻塔; v.装配；装扮；临时赶造；操纵
shortstop|n.（棒球）游击手；游击手的位置
pastry|n.面粉糕饼；馅饼皮
microphone|n.麦克风；扩音器
clatter|n.咔嗒声；哗啦声；嘈杂的谈笑声; v.发出哗啦声；咔嗒咔嗒响；喧闹地谈笑；使发出咔嗒声
dugout|n.防空洞；独木舟；[棒、足]球员休息处；替补席
musk|n.麝香；麝
concentration|n.集中；专心；浓度
apologize|vi.道歉；赔罪
vapor|n.蒸汽；水蒸汽; v.蒸发；汽化
temple|n.神殿；寺院；庙宇; n.太阳穴，鬓角
consistent|adj.始终如一的；持续的；一致的
licence|n.执照；许可；特许；自由；放纵; vt.同意；许可
practical|adj.明智的；实际的；实用的；事实上的; n.实践考试
proved|v.证明(证明是；检验；勘探；证明；试印)
anxiously|adv.焦急地；忧虑地；担心地
secure|adj.安全的；牢靠的；稳妥的; vt.使安全；获得；固定
gust|n.突然一阵; n.风味; vi.猛吹
considerably|adv.非常地；相当地；颇
vehicle|n.车辆；交通工具；传播媒介；手段；工具
forlorn|adj.孤独的；凄凉的；渺茫的
nectar|n.花蜜；甜美的饮料；众神饮用的酒
academic|adj.学院的；学术的；理论的; n.大学教师，大学生；学者，学究
regularly|adv.有规律地；定期地
descend|v.下降；降临; v.传下来；遗传; v.突然袭击；突然拜访
helper|n.助手；帮手
sprout|v.长芽；萌芽；迅速成长; n.芽；年幼者
keepsake|n.纪念品
caterpillars|毛虫树
padding|n.垫充；垫塞；填料；废话
equestrian|n.骑马者；骑术家; adj.骑马的；骑术的
identify|vt.鉴定；识别，辨认出，认出；认明；把…看成一样; vi.认同；感同身受
airfield|n.飞机场
concern|n.关心；关心的事；忧虑，担心; vt.涉及；影响；关心；（使）担心; n.公司；企业
boldly|adv.大胆地；显眼地
sushi|n.寿司(一种日本食品)
stare|v.盯着看；凝视; n.凝视
landlord|n.地主；房东
ajar|adj.微开的；半开的; adv.微开地；半开地
diver|n.跳水者；潜水员
myths|神话
headmaster|n.(中小学的)校长
critically|adv.批评性地；爱挑剔地；重要地；危急地
schoolyard|n.校园；运动场
burst|n.爆发；破裂；阵; v.爆裂；迸发；冲；闯
sleet|n.雨雪; v.下雨雪；下冰雹
sagebrush|n.山艾(美国西北荒漠产的一种灰绿色灌木)
