failure|n.失败；失败者；不及格；疏忽；失灵；未能；悲惨的事
unlucky|adj.倒霉的；不幸的；不吉利的
faulty|adj.有缺陷的；不合格的；有错误的；有缺点的
matador|n.斗牛士
kennel|n.狗舍；养狗场；排水道; v.置于狗舍；宿于狗舍
unnatural|adj.不自然的；反常的；不近人情的
govern|v.统治；支配；管理；规定；控制
splendid|adj.极好的；辉煌的；壮观的；杰出的
bunch|n.串；束；一群；捆; n.突出物；凸起; vt.使成一束(或一群等); vi.隆起；成束成群
flesh|n.肉；肉体；人类; v.充实；变胖
professor|n.教授；老师
caribou|n.北美驯鹿
overboard|adv.自船上落下；在船外
whisky|n.威士忌酒; =whiskey(美).
skyscrapers|摩天楼
schedule|n.时间表，日程；一览表；计划; v.预定；安排；编制目录
alibi|n.不在场证明或辩解；托辞; v.辩解；找托辞开脱
shorten|v.弄短；变短
wasp|n.黄蜂；胡蜂
lighthouse|n.灯塔
adolescent|adj.青春期的；青少年的; n.青少年
foreigner|n.外国人；外人
fare|n.车费；路费；乘客；食物; vi.过活；进展；进食；旅行；行走
fireman|n.消防队员；司炉工
visitor|n.参观者；访问者；访客
embassy|n.大使馆；大使全体人员
wander|vi.漫步；蜿蜒；迷路；闲逛；徘徊; vt.漫步于; n.漫游；徘徊；闲逛
truant|n.懒惰鬼；旷课者; adj.偷懒的；旷课的；游荡的; v.偷懒；旷课
corrupt|adj.腐败的；堕落的；讹误的; vt.贿赂；使恶化；使腐烂; vi.腐败；腐烂
disguise|vt.掩饰；假装；假扮; n.伪装；伪装物
temper|n.脾气；性情; vt.使缓和；调和；锻炼
immense|adj.巨大的；广大的；非常好的
stepsister|n.异母(或异父)的姐妹
depth|n.深度；深刻；深奥；深；厚度
fortunately|adv.幸运地；幸亏
brief|adj.短暂的；短期的；简短的；扼要的; n.摘要；案件陈述; vt.作…的概述；（向…）简单介绍
despair|n.绝望；失望; vi.失望
precipitation|n.仓促；急躁；沉淀；降雨量；坠落；凝结；冰雹
occupy|vt.占用；占领；从事；使忙碌；专心
admission|n.承认；入会费；许可
cheerful|adj.高兴的；快乐的
turnaround|n.周转时间；好转；转身；回车场；（轮船、飞机的）终点装卸时间
sneer|n.冷笑；嘲笑; v.嘲笑；冷笑
promptly|adv.迅速地；准时地；立即
performances|性能
butcher|n.屠夫；刽子手；肉商；小贩; vt.屠宰；滥杀；将某事弄得一团糟
afternoons|adv.每天下午
collapse|v.（使）倒塌；（使）崩溃；（使）瓦解；折叠; n.倒塌；崩溃；暴跌
undertake|v.承担；从事；保证；答应
exact|adj.精密严谨的；确切的
busiest|最忙的
gesture|n.手势；姿势; v.作手势表达
rival|n.竞争者；对手；同伴; adj.竞争的; v.竞争；与...相匹敌
cucumbers|黄瓜
packing|n.包装
range|n.范围；射程；山脉；排；一系列；闲逛；炉灶；【数】值域，极差; v.排列；使…站在某一方；延伸；漫游；射程达到(某距离)
undisturbed|adj.未受干扰的；安静的；镇定的
swimmers|白色有光绒面呢
bomber|n.轰炸机；投弹手
nee|adj.娘家姓...的
rattlesnakes|响尾蛇
enormous|adj.巨大的；庞大的
polo|n.马球；水球；马球装束
rapidly|adv.迅速地；很快地
spoil|v.宠坏；溺爱；破坏；腐坏；使索然无味; n.战利品；奖品
grasshopper|n.蚱蜢；蝗虫；轻型飞机；蚱蜢鸡尾酒
desolate|adj.荒凉的；荒芜的；孤单寂寞的
graze|v.放牧；（牛、羊等）吃草; v.轻擦；擦伤; n.放牧; n.擦伤
impatiently|adv.不耐烦地；急躁地
binoculars|n.双眼望远镜
charmer|n.魔术师；巫师；迷人的人，讨人喜欢的人
criminal|n.罪犯; adj.犯罪的；刑事的；违法的
fanatical|adj.狂热的；入迷的
intelligence|n.智力；理解力; n.情报；情报工作；情报机关
critic|n.评论家；批评家
drily|adv.幽默而不形于色地；冷淡地；干燥地
tracer|n.追踪者(器)；示踪物；曳光弹；[化]示踪剂
grain|n.谷物；谷类；微量；颗粒；纹理；格令; v.形成(颗粒)；(用谷物)喂养
income|n.收入；所得；收益
frightful|adj.可怕的；吓人的
crowd|n.人群；群众；大群；朋友; v.拥挤；挤满；涌入；贴近；逼迫
chime|n.鸣；钟；和协; v.鸣；打；和协
geography|n.地理
direction|n.方向；指导；用法说明；趋势；目标；管理
liftoff|n.（火箭等）发射；起飞
desperately|adv.拼命地；绝望地；极严重地；孤注一掷地
fable|n.寓言；神话；无稽之谈; v.讲寓言；虚构
pub|n.酒吧；酒馆
termite|n.白蚁
inspector|n.检查员；巡视员；巡官
scaly|adj.有鳞的；剥落的；被虫蛀的；卑劣的
considerate|adj.考虑周到的；体谅的；体贴的
breast|n.乳房；胸脯; vt.(以胸)对着
suspicious|adj.可疑的；多疑的
beneficial|adj.有利的；有益的
blurt|vt.冲口说出；突然说出
retirement|n.退休；隐匿处
happenings|n.事件；意外发生的事
inlet|n.水湾；入口；插入物; vt.引进；插入
mobile|adj.移动的；易变的；活动的; n.汽车；可动雕塑；悬挂饰物；活动物体
