curtain|n.窗帘；门帘；幕(布); vt.(用帘)装饰；(以帘)遮蔽
snuggle|v.依偎；挨近
lead|v.引导；领先；带领；过...(的生活)；导致; n.领头位置；主角；榜样；引言；铅
astonish|vt.使惊讶；使吃惊
rare|adj.罕见的；珍贵的；煎得嫩的
chest|n.胸部；胸腔；箱子；金库
detect|v.发觉；察觉；探测
hurriedly|adv.匆忙地
statement|n.陈述；声明；【计】语句
wearer|n.穿用者
piracy|n.盗版；剽窃；著作权侵害；海盗行为
effect|n.效应；结果；影响；印象；效果；要旨; v.使产生；引起
nerve|n.神经；勇气；敏感处；叶脉；厚脸皮; v.鼓起勇气; （复）nerves:神经紧张.
attempt|v.企图；尝试; n.企图；试图
whoosh|v.飞快地移动; n.嗖的一声；冲出(表示飞快的移动)
persistent|adj.坚持的；连续的；固执的
invasion|n.侵略；侵入
alibi|n.不在场证明或辩解；托辞; v.辩解；找托辞开脱
shorten|v.弄短；变短
accidentally|adv.偶然地；意外地；附带地
bitterly|adv.残酷地；痛苦地
playgrounds|游戏场地
rat|n.变节者；鼠；卑鄙的人; v.捕鼠；背叛；偷窃
soundly|adv.完全地；健全地；坚牢地；香甜地
handball|n.手球；墙手球运动
monsoon|n.季风；雨季
turnip|n.萝卜；芜菁；大头菜
temper|n.脾气；性情; vt.使缓和；调和；锻炼
chairman|n.主席；会长；董事长; v.担任...的主席(议长)
lesion|n.损害；损伤；障碍
perform|v.执行；履行；表演；运转；举行
display|n.显示；陈列；炫耀; vt.显示；表现；夸示
fend|v.照料；挡开；[英口]供养
criticism|n.批评；评论
enthusiast|n.热心人；热衷者
precipitation|n.仓促；急躁；沉淀；降雨量；坠落；凝结；冰雹
pork|n.猪肉
ratty|adj.糟糕的；破烂的；卑鄙的；像老鼠的；鼠多的; adj.恼怒的
precaution|n.预防；预防措施
tock|n.托科鸟
pedestal|n.基架；底座；受人尊敬的地位; vt.搁在台上；颂扬
sprouted|adj.萌芽的；发了芽的
drilling|n.演练；钻孔
force|n.武力；暴力；力量；影响力；力量大的人或（事物）；权力；（为某目的组织起来的）一群人；军队；部队；武装力量；警察部门；力；风力; v.迫使；强迫；强制；使发生；强装（欢笑）；人工催长
flex|v.弯曲；伸缩；屈曲; n.花线；弯曲；弹性
perhaps|adv.也许；可能
sculptor|n.雕刻家
rig|n.装备；帆具；服装；钻井架；钻塔; v.装配；装扮；临时赶造；操纵
shortstop|n.（棒球）游击手；游击手的位置
horsepower|n.马力(功率单位)
microphone|n.麦克风；扩音器
dugout|n.防空洞；独木舟；[棒、足]球员休息处；替补席
musk|n.麝香；麝
refrigerator|n.冰箱
vapor|n.蒸汽；水蒸汽; v.蒸发；汽化
method|n.方法；条理; n.类函数；类成员函数（计算机）
microwave|n.微波；微波炉; vt.用微波炉加热
cod|n.鳕鱼; v.哄骗；愚弄
rattlesnakes|响尾蛇
licence|n.执照；许可；特许；自由；放纵; vt.同意；许可
proved|v.证明(证明是；检验；勘探；证明；试印)
polo|n.马球；水球；马球装束
examiner|n.主考者；审查员
desolate|adj.荒凉的；荒芜的；孤单寂寞的
considerably|adv.非常地；相当地；颇
porridge|n.粥；麦片粥
forlorn|adj.孤独的；凄凉的；渺茫的
nectar|n.花蜜；甜美的饮料；众神饮用的酒
binoculars|n.双眼望远镜
bedside|adj.床边的；病床边的; n.床边
regularly|adv.有规律地；定期地
charmer|n.魔术师；巫师；迷人的人，讨人喜欢的人
descend|v.下降；降临; v.传下来；遗传; v.突然袭击；突然拜访
helper|n.助手；帮手
sprout|v.长芽；萌芽；迅速成长; n.芽；年幼者
away|adv.离开；远离；在远处；一直；朝另一个方向；消失; adj.不在的；遥远的；[棒]出局的；客场的
caterpillars|毛虫树
tale|n.故事；叙述；传说; v.谈论，讲述，搬弄是非；
speedboat|n.快艇
tricycle|n.三轮车
padding|n.垫充；垫塞；填料；废话
polecat|n.臭猫；臭鼬类动物
ham|n.火腿；（动物）后腿; v.表演过火；演技夸张
process|n.工序；过程; v.加工；处理；起诉；列队前进
envelope|n.信封；壳层；封袋
shell|n.壳；炮弹；[计]外壳程序; v.脱落；去壳；拾贝壳；炮轰
singular|adj.单数的；奇特的；非凡的; n.单数
madam|n.夫人；女士；太太
equestrian|n.骑马者；骑术家; adj.骑马的；骑术的
pub|n.酒吧；酒馆
boldly|adv.大胆地；显眼地
ajar|adj.微开的；半开的; adv.微开地；半开地
termite|n.白蚁
myths|神话
creative|adj.创造的，创造性的；创作的；产生的，引起…的（后接of）
weak|adj.弱的；虚弱的；无力的；差的；淡薄的
exhibition|n.展览；展示
condition|n.条件；情况; v.训练；决定；以...为条件；护理（头发）
schoolyard|n.校园；运动场
sleet|n.雨雪; v.下雨雪；下冰雹
