curtain|n.窗帘；门帘；幕(布); vt.(用帘)装饰；(以帘)遮蔽
faulty|adj.有缺陷的；不合格的；有错误的；有缺点的
bet|v.打赌；确信无疑; n.赌注；确信
lead|v.引导；领先；带领；过...(的生活)；导致; n.领头位置；主角；榜样；引言；铅
ambassador|n.大使；代表
kennel|n.狗舍；养狗场；排水道; v.置于狗舍；宿于狗舍
halibut|n.大比目鱼
unnatural|adj.不自然的；反常的；不近人情的
palaces|宫城
inquire|vt.询问；查究; vi.询问；查究
seawater|n.海水
rare|adj.罕见的；珍贵的；煎得嫩的
chest|n.胸部；胸腔；箱子；金库
hive|n.蜂房；蜂箱；蜂群；喧闹繁忙的场所; vi.蜂进入蜂箱；聚居；把一部分分离出来; vt.使蜂入箱；储备
statement|n.陈述；声明；【计】语句
workshop|n.工场；车间；研讨会；讲习班
piracy|n.盗版；剽窃；著作权侵害；海盗行为
effect|n.效应；结果；影响；印象；效果；要旨; v.使产生；引起
wicked|adj.坏的；邪恶的；缺德的; adv.极端地；非常地; vt.吸收
destruction|n.破坏；毁灭
overboard|adv.自船上落下；在船外
attempt|v.企图；尝试; n.企图；试图
skyscrapers|摩天楼
nerve|n.神经；勇气；敏感处；叶脉；厚脸皮; v.鼓起勇气; （复）nerves:神经紧张.
wasp|n.黄蜂；胡蜂
foreigner|n.外国人；外人
bitterly|adv.残酷地；痛苦地
visitor|n.参观者；访问者；访客
semi|n.半挂车；半挂车货车；半决赛; pref.表示“一半的；部分的；不完全的”
embassy|n.大使馆；大使全体人员
rat|n.变节者；鼠；卑鄙的人; v.捕鼠；背叛；偷窃
soundly|adv.完全地；健全地；坚牢地；香甜地
disguise|vt.掩饰；假装；假扮; n.伪装；伪装物
chairman|n.主席；会长；董事长; v.担任...的主席(议长)
stepsister|n.异母(或异父)的姐妹
quiver|v.颤抖；振动; n.颤抖；箭袋；箭袋内的箭
perform|v.执行；履行；表演；运转；举行
display|n.显示；陈列；炫耀; vt.显示；表现；夸示
criticism|n.批评；评论
sailor|n.海员；水手；扁平的硬边草帽
pork|n.猪肉
precaution|n.预防；预防措施
drilling|n.演练；钻孔
force|n.武力；暴力；力量；影响力；力量大的人或（事物）；权力；（为某目的组织起来的）一群人；军队；部队；武装力量；警察部门；力；风力; v.迫使；强迫；强制；使发生；强装（欢笑）；人工催长
perhaps|adv.也许；可能
pigeon|n.鸽子
wheelbarrow|n.独轮手推车
pulley|n.滑车；滑轮；皮带轮
shortstop|n.（棒球）游击手；游击手的位置
butcher|n.屠夫；刽子手；肉商；小贩; vt.屠宰；滥杀；将某事弄得一团糟
sack|n.袋子；解雇; vt.解雇；把...装入袋子；劫掠
collapse|v.（使）倒塌；（使）崩溃；（使）瓦解；折叠; n.倒塌；崩溃；暴跌
microphone|n.麦克风；扩音器
musk|n.麝香；麝
cucumbers|黄瓜
packing|n.包装
refrigerator|n.冰箱
vapor|n.蒸汽；水蒸汽; v.蒸发；汽化
edgy|adj.急躁的；尖利的；刀口锐利的
method|n.方法；条理; n.类函数；类成员函数（计算机）
rivalry|n.敌对；竞争；对抗
microwave|n.微波；微波炉; vt.用微波炉加热
nee|adj.娘家姓...的
enormous|adj.巨大的；庞大的
proved|v.证明(证明是；检验；勘探；证明；试印)
porridge|n.粥；麦片粥
pretended|adj.假的；虚伪的
sprout|v.长芽；萌芽；迅速成长; n.芽；年幼者
drily|adv.幽默而不形于色地；冷淡地；干燥地
critic|n.评论家；批评家
tracer|n.追踪者(器)；示踪物；曳光弹；[化]示踪剂
away|adv.离开；远离；在远处；一直；朝另一个方向；消失; adj.不在的；遥远的；[棒]出局的；客场的
python|n.大蟒；巨蟒
tale|n.故事；叙述；传说; v.谈论，讲述，搬弄是非；
padding|n.垫充；垫塞；填料；废话
allegiance|n.忠诚；效忠
stink|n.臭味；臭气; vi.发臭味；招人讨厌
frightful|adj.可怕的；吓人的
caterpillar|n.毛虫; Caterpillar.; n.卡特彼勒(财富500强公司之一；总部所在地美国；主要经营工业农业设备)
chime|n.鸣；钟；和协; v.鸣；打；和协
ham|n.火腿；（动物）后腿; v.表演过火；演技夸张
process|n.工序；过程; v.加工；处理；起诉；列队前进
envelope|n.信封；壳层；封袋
shell|n.壳；炮弹；[计]外壳程序; v.脱落；去壳；拾贝壳；炮轰
singular|adj.单数的；奇特的；非凡的; n.单数
chin|n.颏；下巴; v.聊天；作引体向上
madam|n.夫人；女士；太太
heartbroken|adj.悲伤的
hut|n.小屋；棚屋; v.在棚屋中隐蔽
sundown|n.日落时分
sew|v.缝合；缝纫
creative|adj.创造的，创造性的；创作的；产生的，引起…的（后接of）
weak|adj.弱的；虚弱的；无力的；差的；淡薄的
exhibition|n.展览；展示
condition|n.条件；情况; v.训练；决定；以...为条件；护理（头发）
blurt|vt.冲口说出；突然说出
allergy|n.过敏症；反感；厌恶
situations|现状
inlet|n.水湾；入口；插入物; vt.引进；插入
nasty|adj.下流的；严重的；令人不快的；难懂的；危害的
