tread|n.步法；踏面；胎面花纹；鞋底; v.踩；行走；践踏；(鸟类)交配
avenge|vt.为...报复；报仇
awaken|v.醒；意识到；唤醒；激起；使意识到；使唤醒
nonstop|adj.直达的；不断的；不间断的; adv.直达地；不间断地; n.直达车；直达行驶
mortality|n.死亡率；死亡数目；必死性
shortage|n.不足；缺少，短缺
blacksmithing|n.锻造，手工锻造
newborn|adj.新生的; n.新生儿
uncover|vt.揭开；揭露
tone|n.语气；音调；调子；色调；风气; v.使更健壮；定调；调色；装腔作势地说
builder|n.建设者；建筑工人；促进剂；增洁剂
flute|n.长笛；凹槽; vi.吹长笛；发出笛声; vt.刻凹槽
bang|n.巨响；重击；刘海; v.重击；大声敲；剪成刘海；突然巨响; adv.正好地；准确地
bog|n.沼泽; v.使...陷于泥沼；陷于困境
reflective|adj.反射的；反映的；沉思的
yo|int.唷(水手拉绳时一道发出的叫声)
adrift|adv.漂流地；漫无目的地; adj.漂泊的；漫无目的的；松开的
bloodstained|adj.染着血的；犯杀人罪的
immortal|adj.不朽的；永世的; n.不朽的人物；神
bestow|v.授予；给予；使用；放置
athletic|adj.运动的；活跃的；健壮的
spill|v.溢出；洒；使...流出；泄漏; n.溢出；流；木片；小杆
intensive|adj.密集的；彻底的；精细的；强调的; n.(语法)强调成份
unmarried|adj.未婚的；独身的; n.未婚者
aviator|n.飞行员
beautifully|adv.美丽地；完美地；出色地；很好
swoop|v.抓取；猛扑；突然袭击; n.俯冲；攫取；突然袭击
mere|adj.仅仅的；纯粹的
blade|n.刀刃；刀锋；桨叶；叶片
ambrosia|n.神的食物；特别美味的食物
unbelievable|adj.难以置信的
administrator|n.管理人；行政官
poodle|n.狮子狗
mellow|adj.成熟的；醇的；熟练的; v.（使）变熟，（使）柔和
devil|n.魔鬼；淘气鬼；坏人；家伙；棘手的事; vt.困扰；添加辣味调料；给...做助手
stable|adj.稳定的；安定的；可靠的; n.马棚；马厩；一批人; v.使（马）入厩；入马棚
poke|n.戳；刺；拨；钱袋; v.戳；捅；刺；拨开；伸出
scram|n.急停；急离；紧急刹车; v.快走开
vulture|n.秃鹰；兀鹰；贪婪的人
swan|n.天鹅; vi.闲荡；游荡
bleat|n.羊的鸣声；哀鸣; v.发出羊叫声；哀鸣；哭诉
squeaky|adj.吱吱响的；发轧声的；短促尖声的
announcer|n.广播员；告知者
immature|adj.不成熟的
timber|n.木材；木料
armful|n.一抱之量
goodwill|n.善意；亲切；友好；商誉；信誉
lid|n.盖子；眼睑; vt.给...装盖子
behold|vt.看到；注视；领悟; vi.看；看啊(多用于祈使句；引起人的注意)
buddy|n.伙伴；兄弟；好朋友; vi.结交
amazement|n.惊愕；惊异
rhythmic|adj.有节奏的；有韵律的
thud|n.重击声；砰的一声; v.发出砰的一声
detour|n.绕路；便道; v.绕路而行
aw|int.表示抗议、怀疑、厌恶等的感叹语
girdle|n.腰带；围绕物; vt.以腰带束缚；在...周围绕
reptile|n.爬行动物；卑鄙的人; adj.爬虫类的
trickle|vi.滴流；慢慢移动; n.细流；徐徐地流
sunglasses|n.墨镜；太阳镜
stench|n.臭气；恶臭
victorious|adj.胜利的；得胜的
gardener|n.园丁；花匠
bland|adj.温和的；不油腻的；引不起兴趣的；平淡无奇的
granny|n.奶奶
apiece|adv.每人；每个；各
architect|n.建筑师; n.【喻】缔造者；创造者
generator|n.发电机；发生器
badger|n.獾；獾皮(毛); Badger:獾州人(对威斯康星州人的昵称).; v.纠缠；一再烦扰；吵着要
weary|adj.疲倦的；厌烦的; v.疲倦；厌烦；生厌
arrow|n.箭；箭头
shabby|adj.破旧的；寒酸的；低劣的，无耻的；卑劣的
enjoyment|n.享受；令人愉快的事
legendary|adj.传说的；传奇的；著名的
holler|v.叫喊；发牢骚; n.叫喊；怨言
wiggle|v.扭动；摆动; n.扭动；蠕动；奶油青豆烧鱼
afterlife|n.来世；后来的岁月
justices|公平
ankle|n.踝；踝关节
hurl|v.用力投掷；愤慨地说出；丢下
betcha|int.当然；真的；的确！; =betyou.
aphrodite|n.北美豹蝶; Aphrodite.; n.阿佛洛狄忒（爱与美之女神）
barque|n.三桅船；轻舟
lair|n.(野兽的)巢穴；(人的)藏身处
brigade|n.旅；队；组; vt.组队；编组
interior|adj.内地的；国内的；内部的; n.内部；内在
arc|n.弧；弧形物; vi.形成电弧；按弧形轨迹行进
routine|n.例行公事；常规；无聊; adj.常规的；例行的；乏味的
reunion|n.团聚；联合
boot|n.靴子；猛踢；解雇；[英]汽车行李箱; vt.踢；穿靴子；逐出；启动(计算机)
ahoy|int.喂（用来呼叫船或人）
exhausted|adj.用完的；精疲力竭的
brewski|n.啤酒；一瓶啤酒
baboon|n.狒狒
moan|n.呻吟声；抱怨声; vt.抱怨；呻吟; vi.呻吟；抱怨
await|v.等候；期待；将降临于
binding|n.镶边；（书籍的）封皮；（滑雪板的）皮靴固定装置; adj.必须遵守的；有法律约束力的
fiend|n.魔鬼；邪神
fairy|n.仙女；小精灵; adj.优雅的；幻想中的；虚构的
badminton|n.羽毛球
hooded|adj.戴头巾的；有兜帽的；有罩盖的；[动]有冠顶的
